Key,Value
string,string
Bounty_name_STAR1_1,Delicious Wine
Bounty_name_STAR1_2,On Sale: Marshmallows
Bounty_name_STAR1_3,Search for Medical Herbs
Bounty_name_STAR1_4,Secret Cotton Candy
Bounty_name_STAR1_5,Sing Me to Sleep
Bounty_name_STAR1_6,Lost Cartridge Case
Bounty_name_STAR1_7,Quality Iron Ore
Bounty_name_STAR1_8,Housekeeper
Bounty_name_STAR1_9,Clinical Trial
Bounty_name_STAR1_10,Give Out Flyers
Bounty_name_STAR1_11,Spread Rumors
Bounty_name_STAR1_12,Eradicate Boars
Bounty_name_STAR1_13,Harvest Fruit
Bounty_name_STAR1_14,Look After Orphans
Bounty_name_STAR2_1,Mop Up the Remnants of Demon King’s Army
Bounty_name_STAR2_2,Delinquent Debtor
Bounty_name_STAR2_3,Food Supply
Bounty_name_STAR2_4,Magic Assistant
Bounty_name_STAR2_5,Hunt Bisons
Bounty_name_STAR2_6,Gather Information
Bounty_name_STAR2_7,Investigate Ruins
Bounty_name_STAR2_8,Strange Rope
Bounty_name_STAR2_9,Repair the Church
Bounty_name_STAR2_10,Local Specialty Liquor
Bounty_name_STAR2_11,Special Cuisine! Special Ingredient!
Bounty_name_STAR2_12,Fix the Collapsed Rampart
Bounty_name_STAR2_13,Treat the Injured
Bounty_name_STAR2_14,Night Watch
Bounty_name_STAR3_1,Sparring Partner
Bounty_name_STAR3_2,A Very Special Flower Seed
Bounty_name_STAR3_3,Looking for a Proxy
Bounty_name_STAR3_4,Sweater of Dragon
Bounty_name_STAR3_5,Search for Whereabouts
Bounty_name_STAR3_6,Buy Bombs
Bounty_name_STAR3_7,Explore Cave
Bounty_name_STAR3_8,Volunteer Work in Church
Bounty_name_STAR3_9,Shamanic Ink
Bounty_name_STAR3_10,Shine the Light
Bounty_name_STAR3_11,Huge Mutant Slime
Bounty_name_STAR3_12,Purify Tainted Region
Bounty_name_STAR3_13,Wildlife Sanctuary
Bounty_name_STAR3_14,Extinguish Forest Fire
Bounty_name_STAR4_1,Stolen Designer Goods
Bounty_name_STAR4_2,Deliver Dessert Quickly
Bounty_name_STAR4_3,Magical Research
Bounty_name_STAR4_4,Fresh Blood
Bounty_name_STAR4_5,Etiquette Lessons of High Elf
Bounty_name_STAR4_6,Ambush Plan
Bounty_name_STAR4_7,Rescue Hostages
Bounty_name_STAR4_8,Missing Cat
Bounty_name_STAR4_9,Deliver Mana Oil
Bounty_name_STAR4_10,Special Event
Bounty_name_STAR4_11,Search Polymorph
Bounty_name_STAR4_12,Assassinate Demon King’s Army Officer
Bounty_name_STAR4_13,Large Habitat of Mushroom Kids
Bounty_name_STAR4_14,Purify the Well
Bounty_name_STAR5_1,Secret Mission
Bounty_name_STAR5_2,Coven
Bounty_name_STAR5_3,Stolen Key
Bounty_name_STAR5_4,Spy in the Faithful of the Goddess
Bounty_name_STAR5_5,Albatross Feather
Bounty_name_STAR5_6,Restore Oasis
Bounty_name_STAR5_7,Assassins from Turon
Bounty_name_STAR5_8,Rebels in Helvetia
Bounty_name_STAR5_9,Ancient Temple of Vampire
Bounty_name_STAR5_10,Protect the Forge!
Bounty_name_STAR5_11,Legendary Treasure
Bounty_name_STAR5_12,Liberate the Port
Bounty_name_STAR5_13,Escort Merchants
Bounty_name_STAR5_14,Giant Mushroom of Great Wall
Bounty_name_STAR6_1,Disturbance in the Temple
Bounty_name_STAR6_2,Demon King Worshippers
Bounty_name_STAR6_3,Protector of the Void
Bounty_name_STAR6_4,Unstable Dimensional Gate
Bounty_name_STAR6_5,Abnormal Temperature
Bounty_name_STAR6_6,Teammate for the Sword-fight Contest
Bounty_name_STAR6_7,Goddess's Day Festival
Bounty_name_STAR6_8,Wings of Archangel
Bounty_name_STAR6_9,Great Escape
Bounty_name_STAR6_10,Laboratory in Crisis
Bounty_name_STAR6_11,Mysterious Mirrors
Bounty_name_STAR6_12,Suspicious Movement
Bounty_name_STAR6_13,Rescue Hostages
Bounty_name_STAR6_14,Extinguish Fire
Bounty_desc_STAR1_1,"Joan is looking for delicious wine to drink. If it tastes a bit bloody, that’s even better."
Bounty_desc_STAR1_2,"Aria is looking for someone to buy a lot of marshmallows, which are on sale at the town market."
Bounty_desc_STAR1_3,Procure medical herbs that can treat the wounded animals and bring them to Allain.
Bounty_desc_STAR1_4,Someone wants to buy them cotton candy in secret. Who would they be?
Bounty_desc_STAR1_5,"Catalina is suffering from insomnia, so she is looking for someone to sing a lullaby for her. No tone-deaf singers!"
Bounty_desc_STAR1_6,Lane is asking to find a cartridge case which she lost during firing practice. What’s so important about it?
Bounty_desc_STAR1_7,Crissy is looking for quality iron ores. She said she’s making another hammer.
Bounty_desc_STAR1_8,Rima is looking for a housekeeper to do the dishes instead of her. She said it’s ok if you’re bad at cooking.
Bounty_desc_STAR1_9,Candy is looking for a volunteer for the clinical trial of a new potion.
Bounty_desc_STAR1_10,Reah is looking for someone to give out flyers at a nearby village. You can't read what’s on the flyer.
Bounty_desc_STAR1_11,Hop around the bars in town and spread rumors about Camila’s assassination skill. With a little bit of an exaggeration...
Bounty_desc_STAR1_12,"Townsfolk are looking for someone to eradicate the boars that are ruining the crops. "
Bounty_desc_STAR1_13,Harvest fruit at an orchard where is shorthanded. The fruit will rot if harvested too late.
Bounty_desc_STAR1_14,The nuns in town are looking for someone to look after orphans who lost their parents by the Demon King’s army.
Bounty_desc_STAR2_1,Help Noa and mop up the remnants of the Demon King’s army. She said time is short.
Bounty_desc_STAR2_2,Follow Mathilda and collect debts from debtors who have borrowed money from the town and are deliberately not paying back.
Bounty_desc_STAR2_3,"Natalia wants someone to procure food and load it on her pirate ship. She prefers food that will keep, like canned food."
Bounty_desc_STAR2_4,Emma is looking for someone to assist her in a magic show planned to be performed in the town.
Bounty_desc_STAR2_5,Barbara is looking for a helping hand in hunting bisons. She said she had to make jerky too.
Bounty_desc_STAR2_6,Gather information about the Demon King and inform Kate.
Bounty_desc_STAR2_7,Meryl wants someone to go to the ruined palace of Romanetia and find her favorite book.
Bounty_desc_STAR2_8,Ruin is asking for a special rope. She said it’s for wrapping a gift.
Bounty_desc_STAR2_9,Maria is looking for someone to repair the church destroyed by the Demon King's army.
Bounty_desc_STAR2_10,Natasha wants the specialty liquor produced in this region. She said she’d whoop your butt if you're late.
Bounty_desc_STAR2_11,Salt is looking for rare ingredients to use in a cooking contest.
Bounty_desc_STAR2_12,Fix the rampart collapsed during the battle with the Demon King’s army.
Bounty_desc_STAR2_13,Treat the people injured by the Demon King’s army.
Bounty_desc_STAR2_14,Patrol near the town in the night so that the townsfolk can shake off their anxiety and finally go to sleep.
Bounty_desc_STAR3_1,Chloe is looking for a sparring partner for her martial arts training.
Bounty_desc_STAR3_2,Hilde is looking for someone to procure the seed of a rare flower which inhabits only in this region.
Bounty_desc_STAR3_3,Patima is looking for someone who will do her tiresome works for her. The pay is quite handsome.
Bounty_desc_STAR3_4,Tia wants to sell her handwoven sweater at an exorbitant price. Would it be possible?
Bounty_desc_STAR3_5,Margaret is asking to investigate the whereabouts of her missing son. Good luck.
Bounty_desc_STAR3_6,"Teresa is looking for bombs she’ll use in battles. She said the bigger the bomb, the better."
Bounty_desc_STAR3_7,Investigate a fishy cave with Suyoung in search of the secret method to become a human. It might be a bit scary…
Bounty_desc_STAR3_8,"Help the church in a bad-off town with Angela. Of course, you have to make a contribution too."
Bounty_desc_STAR3_9,Miko is looking for someone to procure shamanic ink which she’ll use to write special talismans.
Bounty_desc_STAR3_10,"For some reason, you have to continuously shine a bright light on Behemo. What’s this all about?"
Bounty_desc_STAR3_11,A request to remove a huge mutant Slime. It’s actually not as dangerous as it sounds.
Bounty_desc_STAR3_12,A request to purify the soil contaminated by Mushroom Kid spores. It must be done to let the plants grow back.
Bounty_desc_STAR3_13,A request to restore the forest destroyed by the Demon King’s army so that animals can inhabit that place again.
Bounty_desc_STAR3_14,A request to extinguish a huge forest fire caused by the monsters of the Demon King’s army.
Bounty_desc_STAR4_1,Bianca wants to retrieve her parcel which got lost during delivery. She said there was a designer bag in the parcel.
Bounty_desc_STAR4_2,"Quickly, deliver the luxurious dessert made by Sugar. It will go stale if delivered too late."
Bounty_desc_STAR4_3,"With Sophia, research the method to float a big object using magic. If you’re not the smart type, don't even try."
Bounty_desc_STAR4_4,Ivana is looking for someone to provide fresh blood for her. She said she’d use a syringe.
Bounty_desc_STAR4_5,Ladriel is looking for an assistant to help in her Elvish etiquette lessons. The lessons will go for two consecutive days…
Bounty_desc_STAR4_6,"Kate is looking for a teammate to ambush the resting monsters with her. "
Bounty_desc_STAR4_7,Help Charlotte and rescue the children held by monsters. Hurry up!
Bounty_desc_STAR4_8,Find Sana who has gone missing. The requestor is...Sana?
Bounty_desc_STAR4_9,Patima is looking for someone to divide mana oil into small containers and deliver them while she is sleeping.
Bounty_desc_STAR4_10,Wear a swimsuit and have a great time at the beach with Behemo. Why is this even on the board?
Bounty_desc_STAR4_11,Find out a Polymorph which infiltrated into the town. The townsfolk will be in danger if it’s too late!
Bounty_desc_STAR4_12,Sneak into the area where the Demon King’s army is staying and assassinate the officer. This is a very dangerous job.
Bounty_desc_STAR4_13,"A large Mushroom Kid habitat is discovered, causing damage to a lot of people."
Bounty_desc_STAR4_14,The polluted well in town is making people sick. Purify it quickly!
Bounty_desc_STAR5_1,Carry out a secret mission with Teresa. You have to pay 10 times the penalty than normal for breach of contract if you divulge the details.
Bounty_desc_STAR5_2,The Dark Moon council is looking for someone to guard the coven. What gathering would it be about?
Bounty_desc_STAR5_3,Help Emma and recover the stolen Vegas safe key. Would the key be something precious?
Bounty_desc_STAR5_4,A spy has infiltrated into the Faithful of the Goddess. Help Angela in finding the spy.
Bounty_desc_STAR5_5,Bianca is looking for Albatross feathers that will be used for her new hat.
Bounty_desc_STAR5_6,Patima requests to restore a dry oasis in the desert for her. Would it be possible?
